date,tavg,tmin,tmax,prcp,wdir,wspd,pres,hum
1/1/2022,16.1,12.7,20.9,1.5,81,7.7,1017.8,59
1/2/2022,15.1,13.7,17.1,0.5,70,11.6,1016.7,83
1/3/2022,15.2,13.8,16.9,3.3,65,11.5,1016.2,84.5
1/4/2022,15.6,12,18.7,0.5,58,9.1,1017,66.5
1/5/2022,15,13.6,17.6,3.9,54,5.6,1016.9,80
1/6/2022,15,11.2,20.1,14.5,65,7,1016.4,55.5
1/7/2022,16.8,10.1,19.8,0.5,79,7.3,1016.8,51.5
1/8/2022,14.7,13,18.1,3.2,57,5.5,1016.9,74.5
1/9/2022,14.6,13.5,19.9,1,65,5.8,1016.2,68
1/10/2022,14.6,13.1,17,8.3,95,4.1,1015.9,80.5
1/11/2022,14.9,12.5,18.6,2,73,5.4,1015.8,69.5
1/12/2022,15.3,12.5,18.9,2.5,76,3,1015.7,68
1/13/2022,16.1,11.7,21.1,0.5,348,2.7,1015.4,53
1/14/2022,15.6,10,21.9,0,257,2.2,1015.3,40.5
1/15/2022,15.5,11.5,18.8,0.8,76,4.4,1015.4,63.5
1/16/2022,16.3,9.4,20.2,0,65,7.4,1016.5,46
1/17/2022,14.4,12.2,17.6,0.7,62,7.8,1018,73
1/18/2022,14.5,12.2,17.5,3.6,67,6,1017.4,73.5
1/19/2022,14.3,12.7,17.4,5.1,49,5.2,1015.9,76.5
1/20/2022,14.2,10.6,18.2,0,279,4.7,1014.9,62
1/21/2022,14.8,8,21.2,0,336,7.7,1015.5,34
1/22/2022,14.6,8.8,18.2,0,14,7.7,1014.7,53
1/23/2022,14.2,8.3,18,0,24,7.4,1014.4,51.5
1/24/2022,15.1,11.8,17.9,0,21,4.7,1013.8,69.5
1/25/2022,14.4,11.4,17.8,0,66,4.3,1013.9,68
1/26/2022,13.7,10.8,17.7,0.7,11,3.5,1014.3,65.5
1/27/2022,13.6,10.4,17.2,0,22,4.7,1014,66
1/28/2022,14.7,10,18.8,1.6,93,6.3,1014.7,56
1/29/2022,15.8,13.1,20.2,1.3,84,4.1,1015.5,64.5
1/30/2022,15.6,10.4,20.3,1,333,4,1015.2,50.5
1/31/2022,14.9,11.3,17.4,4.4,74,5.2,1015.4,69.5
2/1/2022,14.8,11.3,19.4,0.2,16,3.4,1014.6,59.5
2/2/2022,15.3,9,19.6,0.3,105,2.5,1014.6,47
2/3/2022,13.8,8.3,21.5,0,319,3.5,1015.2,34
2/4/2022,16.3,8.6,22.1,0,305,5.7,1014,32.5
2/5/2022,15.6,11.5,19.9,0,358,5,1014.3,58
2/6/2022,15.1,11.6,20,0,64,4.4,1016,58
2/7/2022,14.3,11.8,17.4,4,58,5.8,1016.9,72
2/8/2022,15.9,8.5,21.4,0,21,3.6,1015.4,35.5
2/9/2022,15.5,10.6,22.2,0,136,4.5,1014.6,42
